Study_Hours,Attendance,Previous_Scores,Pass
7,50,48,1
4,60,51,0
8,77,92,1
5,74,40,1
7,99,97,1
3,72,97,1
7,80,40,1
8,79,86,1
5,91,73,1
4,84,71,1
8,56,93,1
8,65,87,1
3,75,64,1
6,97,79,1
5,98,84,1
2,51,92,1
8,50,40,1
6,97,55,1
2,61,78,1
5,54,44,0
1,86,61,0
6,81,68,1
9,58,94,1
1,90,42,0
3,84,51,1
7,68,65,1
4,97,55,1
9,65,90,1
3,52,76,1
5,69,61,1
3,73,96,1
7,82,68,1
5,73,53,1
9,60,67,1
7,98,44,1
2,57,86,1
4,85,88,1
9,87,69,1
2,89,85,1
9,69,91,1
5,84,44,1
2,97,51,1
4,74,55,1
7,84,65,1
8,74,65,1
3,78,87,1
1,67,60,0
4,95,78,1
2,67,75,1
8,51,72,1
4,84,69,1
2,65,76,1
6,90,62,1
6,85,97,1
4,82,49,1
6,53,93,1
2,82,44,0
2,63,75,1
4,70,73,1
8,97,91,1
7,69,70,1
9,57,49,1
8,56,97,1
5,52,58,1
2,66,97,1
5,82,71,1
8,97,40,1
9,61,95,1
9,71,44,1
1,71,84,1
9,95,43,1
7,79,55,1
9,87,63,1
8,87,55,1
1,94,94,1
8,57,41,1
8,76,88,1
3,76,67,1
1,83,71,1
8,70,66,1
3,79,59,1
3,82,63,1
1,77,51,0
5,96,89,1
7,82,74,1
9,54,99,1
7,97,72,1
9,68,72,1
8,53,90,1
2,84,82,1
1,98,76,1
7,66,51,1
7,93,42,1
8,77,40,1
5,79,72,1
3,78,79,1
8,95,49,1
6,55,82,1
3,84,83,1
1,90,68,1
3,86,52,1
5,73,51,1
3,78,70,1
1,98,85,1
5,95,41,1
7,80,90,1
7,84,89,1
9,82,74,1
3,70,62,1
7,81,56,1
1,72,65,0
4,82,47,1
4,52,68,1
5,67,65,1
7,74,49,1
7,91,65,1
4,80,73,1
7,52,90,1
3,89,80,1
6,95,46,1
2,73,43,0
9,99,97,1
5,81,92,1
6,96,89,1
4,71,84,1
7,72,50,1
9,51,68,1
7,76,95,1
1,91,75,1
1,51,64,0
9,75,60,1
9,66,96,1
4,89,75,1
9,82,49,1
3,58,76,1
7,92,48,1
6,97,63,1
8,88,74,1
9,78,88,1
5,91,74,1
1,75,87,1
3,84,75,1
8,99,57,1
6,74,88,1
8,73,78,1
9,62,71,1
4,56,63,1
1,85,62,0
1,94,71,1
4,69,76,1
7,50,51,1
2,57,88,1
3,95,94,1
1,65,52,0
5,63,62,1
1,61,64,0
8,72,74,1
1,64,80,0
1,77,69,0
2,83,56,1
2,51,88,1
6,81,59,1
7,72,87,1
5,71,64,1
1,74,61,0
1,71,52,0
3,71,98,1
2,98,58,1
5,91,88,1
6,55,75,1
7,64,51,1
4,92,80,1
7,86,58,1
8,82,51,1
1,57,48,0
6,93,46,1
8,93,67,1
5,54,53,0
4,88,70,1
2,53,91,1
6,55,58,1
6,94,97,1
1,81,86,1
9,79,55,1
6,96,92,1
3,84,44,0
4,89,74,1
4,65,51,0
3,62,64,0
3,99,91,1
3,91,98,1
4,79,60,1
7,68,75,1
4,66,92,1
9,68,62,1
1,77,55,0
8,75,96,1
7,86,78,1
2,75,84,1
8,72,92,1
